"","EIFRadj","crudeCFR","cumAsctRate","rcnt2wAsctRate","pctEstTotalCases","pctEstTotalCases_L","pctEstTotalCases_U","pctTotalCases","pctEstInfection","pctEstInfection_L","pctEstInfection_U","cumAsctRate_L","cumAsctRate_U","rcntAsct_L","rcntAsct_U","testPosRate7","rcntAsct1w","rcntAsct4w","deathRateTot","deathRate4w","cvDR"
"IN",0.69104084409881,1.90579821385034,32.5588844225733,12.7734935689657,30.3132108274887,15.3451424989817,52.1404948123956,9.869643278093,2.38659740490433,1.18846755630988,4.88201567861649,18.9289405741248,64.3177036560459,8.00700749996448,25.7718721371291,2.30173051707771,13.5520782877596,12.6658282940407,0.188095485307296,0.0152401459310816,119.594021155405
"NH",0.555241504459693,1.54637821943343,32.575170099382,26.1746531758185,17.1987254296995,8.53882854719143,25.0075417956485,5.60251406365029,4.27902079969764,1.39700660409564,4.27902079969764,22.4032978108435,65.6122093643988,22.9664248126192,52.7458920058191,4.26230376194628,23.891417025513,29.6804674380941,0.086636057220983,0.00683968872797234,103.831785773293
"AZ",0.673244636620159,1.97111707595103,32.8321922843033,26.7150516334838,34.3593996335075,17.0505291414398,58.1418870152212,11.2809441554054,1.91933293836535,0.851000408940834,3.24751121058061,19.4024389893849,66.16184202746,15.787468638717,53.8348767765754,3.62770164465262,24.9303236606139,30.3864579965978,0.222360616575696,0.033426220582556,36.7310099328184
"RI",0.69180230754293,1.98783342597885,32.8587163600824,27.3022432253517,36.6934154205123,18.7888582138766,62.0634736467767,12.0569852958529,1.49137246388897,0.408372926498075,2.49467864511224,19.4268618680177,64.1709312966562,16.1372559104626,37.5929582971701,2.14666936900418,24.2604865157788,33.1099222868533,0.239672783876318,0.0311508541469811,36.0285536803676
"DE",0.642616650883304,1.6475930764579,33.7086524087045,12.2354780479504,26.700668168669,15.1311918112327,42.5368185032898,9.00043542377825,5.01107008992528,2.66788652517482,6.26031654968337,21.159164555483,59.4826602957788,7.45671112090077,23.6655091294827,4.37644040010448,10.1140101610644,19.299906995739,0.148290550893235,0.0317325347825551,135.172734117134
"IA",0.709249100862092,1.96736924777267,33.7874060900177,14.4605685782869,26.3965003614716,13.2634409087395,45.0819124770211,8.91869277068337,0.571981295978451,0.287115912379016,1.38455280784459,19.7833061657031,67.242677311637,8.52979725829365,29.156124860334,19.3667953667967,15.5643245742029,17.6346285214847,0.175463618873749,0.0159425939836517,92.5272688684584
"IL",0.661162308407539,1.91927995575147,34.0928002347167,92.21115053301,27.6206172258209,14.5750746110655,46.715598923911,9.41664185439488,0.719577734901848,0.719577734901848,1.19229338472459,20.1573822691055,64.607846653805,54.5199757110346,98.9999999999987,2.43759659538596,94.4515352746796,86.9143393219659,0.180731719616305,0.0110875934879446,61.5731368937902
"AR",0.684706089904143,1.67317362458148,37.083847516792,12.2590375619761,28.9295720473937,15.2614921069401,50.1218414783412,10.7281983853159,1.98125644040439,1.44995834729446,4.52390109306529,21.4042382899117,70.2958682554857,7.77212732850675,23.382956849404,6.15764623590086,13.1850525159986,18.9810331975642,0.179501385775882,0.0135197647030755,57.4311925256007
"GA",0.717508624074971,1.74459519494254,37.1684238751784,18.3695503350981,25.7816328887759,13.589895336255,44.4314858434647,9.58262659404264,1.61612869000947,0.914988896229719,3.6745500873752,21.5671981526859,70.5128800254861,8.73164915409986,24.5316636383881,13.0244045104474,13.8917192593339,26.2446351864047,0.167178043108954,0.0281989330179272,64.6476650076589
"MO",0.676986399911059,1.69955957425511,37.6004006387624,11.9460935016744,20.7798464263608,10.9391047030415,35.6970269460618,7.81330550843122,1.4859523530967,0.49491131861943,3.14404829810652,21.8878326204508,71.4254568407123,4.19254479844982,14.297612966157,3.1061630419671,9.92418420700405,16.4213875478635,0.132791781834345,0.0168311546791262,119.823243472221
